,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,5458,294,0,32,May
1,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,17886,797,0,56,May
2,This AI question will determine our future,2023-04-06,3823,250,0,37,Apr
3,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,68776,771,0,79,Apr
4,Your current portfolio is actually hurting you #shorts,2023-03-30,3821,217,0,2,Mar
5,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,4163,230,0,3,Mar
6,you're job searching wrong. #shorts,2023-03-23,3087,189,0,3,Mar
7,The Economics of Data Roles #shorts,2023-03-21,4496,296,0,5,Mar
8,Why your phone knows everything you say #shorts,2023-03-18,2403,111,0,7,Mar
9,Read these for a successful career. #shorts,2023-03-16,2429,201,0,2,Mar
10,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2237,44,0,5,Mar
11,How I Realized I Was a Bad Manager #shorts,2023-03-07,2369,113,0,1,Mar
12,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,17390,675,0,52,Mar
13,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,5604,190,0,8,Mar
14,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2144,141,0,2,Feb
15,Learning On the companies dime #shorts,2023-02-24,2767,158,0,1,Feb
16,The Best Way to Transition to Data Science? #shorts,2023-02-21,3217,212,0,6,Feb
17,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,4935,292,0,6,Feb
18,Don't Go into Data for the Money #shorts,2023-02-15,3347,193,0,12,Feb
19,Battle Tested Advice for Your First Data Science Project (It's Important),2023-02-13,4757,291,0,22,Feb
20,How to Approach Applying for a Data Role #shorts,2023-02-08,3414,223,0,7,Feb
21,The Hard Reality of Data Science Work #shorts,2023-02-06,8145,522,0,9,Feb
22,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,3961,157,0,6,Feb
23,These 3 Things Make Data Science Special #shorts,2023-02-01,3773,284,0,6,Feb
24,Will Data Science Be Automated? #shorts,2023-01-27,5969,297,0,7,Jan
25,Is Data Science A Good Fit For You? #shorts,2023-01-25,4583,263,0,9,Jan
26,5 Books I Wish I Read Earlier In My Career,2023-01-23,8321,478,0,49,Jan
27,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4078,414,0,10,Jan
28,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6007,443,0,10,Jan
29,How long does it take to become a Data Scientist? #shorts,2023-01-12,4824,390,0,6,Jan
30,Where & how to start your Data Science Journey #shorts,2023-01-09,6199,379,0,2,Jan
31,How I Would NOT Learn Data Science in 2023.,2023-01-03,110952,3744,0,237,Jan
32,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4615,194,0,28,Dec
33,The Essential Programming Concepts For Learning Data Science,2022-11-14,19286,818,0,46,Nov
34,The Data Content House: What You Missed,2022-10-07,10223,342,0,50,Oct
35,Is Data Science A Good Career?,2022-09-29,54303,1758,0,127,Sep
36,IRON ANALYST (Teaser) #shorts,2022-09-27,5482,357,0,24,Sep
37,When a New Data Scientist Joins The Team,2022-08-29,16052,736,0,133,Aug
38,State of Data Science - Web Data,2022-08-05,10381,359,0,34,Aug
39,Data Science Town Hall - State of Data Science,2022-08-04,9904,378,0,38,Aug
40,The Programming Roadmap For Data Science,2022-07-29,25236,1238,0,65,Jul
41,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,58131,2392,0,91,Jun
42,Machine Learning Saves My Baseball Career?,2022-06-10,7372,335,0,68,Jun
43,Every Data Scientist... (funny!),2022-05-24,15869,836,0,146,May
44,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15947,431,0,65,May
45,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,48571,1326,0,83,Apr
46,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,19773,846,0,108,Mar
47,Data Scientists VS NFT Scam,2022-03-03,4547,188,0,51,Mar
48,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10900,507,0,144,Feb
49,What Professional Data Scientists ACTUALLY Do,2022-02-14,90981,3175,0,185,Feb
50,Can You Analyze My Data Better Than I Can?,2022-01-31,6969,318,0,62,Jan
51,Giving Back to My Most Engaged Subscribers!,2022-01-28,2307,119,0,89,Jan
52,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,22433,751,0,97,Jan
53,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8715,421,0,85,Jan
54,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8401,249,0,33,Jan
55,The Only Data Science Explanation You Need,2022-01-10,35110,1954,0,168,Jan
56,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14304,643,0,144,Jan
57,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,332243,14727,0,534,Dec
58,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,10353,393,0,65,Dec
59,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7875,560,0,25,Dec
60,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,23982,1162,0,148,Dec
61,Why Is Data Engineering So HOT Right Now?,2021-11-26,29025,1090,0,141,Nov
62,Is Data Science Dying?,2021-11-19,117729,3742,0,355,Nov
63,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7957,388,0,112,Nov
64,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3614,203,0,48,Nov
65,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,11818,275,0,36,Oct
66,ML Ops: What is it REALLY?,2021-10-22,6185,268,0,61,Oct
67,Business Skills for Data Science: What are they REALLY?,2021-10-18,6650,295,0,50,Oct
68,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2200,123,0,5,Oct
69,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5809,277,0,64,Oct
70,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12615,530,0,112,Aug
71,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,9959,425,0,32,Aug
72,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,39679,1545,0,30,Aug
73,How I Learned to Learn.,2021-07-31,50414,2340,0,207,Jul
74,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10004,563,0,50,Jul
75,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2373,93,0,30,Jul
76,Why are APIs Important for Data Science?,2021-07-09,9419,444,0,95,Jul
77,Is Your Phone REALLY Listening to You?,2021-07-03,5131,278,0,116,Jul
78,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,13938,568,0,120,Jun
79,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4061,225,0,41,Jun
80,#66DaysOfData - What is it? #shorts,2021-06-11,8839,383,0,54,Jun
81,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16353,994,0,89,Jun
82,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7394,392,0,195,May
83,How Data Science Projects Pay Off,2021-05-22,10434,589,0,146,May
84,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10442,485,0,134,May
85,What is a lambda function (python)? #shorts,2021-05-13,14402,895,0,49,May
86,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,25177,1353,0,59,May
87,What is Pandas? (Data & Data Science) #shorts,2021-04-30,22435,1131,0,87,Apr
88,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,75474,3365,0,281,Apr
89,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23271,686,0,85,Apr
90,Why You Probably Won't Become a Data Scientist,2021-04-09,135548,3978,0,482,Apr
91,How to Go From Data Analyst to Data Scientist,2021-04-02,52312,1500,0,173,Apr
92,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3944,138,0,92,Mar
93,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18074,350,0,108,Mar
94,My Regrets as a Data Science Student,2021-03-12,23656,874,0,112,Mar
95,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3811,195,0,83,Mar
96,What is the Future of my Comment Leaderboard Project?,2021-02-26,5542,201,0,81,Feb
97,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6495,172,0,51,Feb
98,Why I Quit Data Science,2021-02-12,104236,2342,0,348,Feb
99,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10437,539,0,116,Jan
100,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6980,295,0,126,Jan
101,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9334,297,0,52,Jan
102,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,21630,691,0,134,Jan
103,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,36019,1125,0,147,Jan
104,What is the #66DaysOfData?,2020-12-26,68799,2301,0,210,Dec
105,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131033,5971,0,494,Dec
106,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10698,395,0,136,Dec
107,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23248,723,0,328,Dec
108,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,26690,828,0,167,Nov
109,6 Lessons from #66DaysOfData,2020-11-13,6684,340,0,95,Nov
110,100K Channel Update + AMA Stream!,2020-11-12,2318,127,0,24,Nov
111,Find a Data Science Project With These 3 Techniques,2020-11-06,16489,720,0,106,Nov
112,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,25761,656,0,156,Oct
113,git for Data Science Made Simple... (Hopefully),2020-10-23,18320,836,0,92,Oct
114,The PODCAST you might have asked for?,2020-10-19,2096,94,0,44,Oct
115,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6663,446,0,113,Oct
116,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13572,398,0,48,Oct
117,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6560,141,0,62,Oct
118,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,10577,541,0,83,Oct
119,Sh*t Data Scientists Say (Parody),2020-10-05,9349,574,0,143,Oct
120,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8566,366,0,93,Oct
121,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7041,289,0,61,Sep
122,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11333,287,0,69,Sep
123,5 Essential Data Science Projects for Your Portfolio,2020-09-26,71029,3059,0,208,Sep
124,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5150,196,0,64,Sep
125,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10816,435,0,58,Sep
126,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7348,250,0,34,Sep
127,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5074,193,0,56,Sep
128,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4137,157,0,35,Sep
129,The 5 Pillars of Success I Live By,2020-09-11,10102,872,0,152,Sep
130,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1883,78,0,25,Sep
131,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3980,161,0,43,Sep
132,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11655,733,0,144,Sep
133,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17813,566,0,89,Sep
134,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17474,783,0,93,Aug
135,Why I'm Starting Data Science Over Again.,2020-08-29,50637,2606,0,450,Aug
136,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14884,621,0,76,Aug
137,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12550,453,0,55,Aug
138,Don't Buy My Course..,2020-08-21,7317,357,0,146,Aug
139,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28940,1108,0,166,Aug
140,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3208,128,0,40,Aug
141,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6277,535,0,108,Aug
142,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4910,184,0,39,Aug
143,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11132,367,0,53,Aug
144,The Plagiarism Problem in Data Science,2020-08-07,13021,630,0,145,Aug
145,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14283,601,0,89,Aug
146,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4862,187,0,56,Aug
147,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11189,574,0,90,Jul
148,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2302,115,0,34,Jul
149,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5541,251,0,112,Jul
150,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8148,247,0,200,Jul
151,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1846,98,0,27,Jul
152,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28567,561,0,90,Jul
153,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,301346,6822,0,407,Jul
154,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29998,1119,0,121,Jul
155,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3598,135,0,50,Jul
156,The Best Computer for Data Science Beginners,2020-07-10,36507,834,0,157,Jul
157,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6122,228,0,82,Jul
158,Critiquing MY OWN Data Science Resume,2020-07-06,12529,396,0,88,Jul
159,Where to Start Learning Data Science,2020-07-03,18502,779,0,126,Jul
160,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4069,197,0,37,Jul
161,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4545,178,0,54,Jun
162,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15846,545,0,79,Jun
163,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2387,82,0,40,Jun
164,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2378,139,0,49,Jun
165,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4294,166,0,46,Jun
166,Why You're Struggling to Learn Data Science,2020-06-12,15171,1010,0,159,Jun
167,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11193,345,0,70,Jun
168,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23016,674,0,146,Jun
169,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5681,156,0,53,Jun
170,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,67037,2098,0,266,May
171,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20931,489,0,81,May
172,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,53083,1906,0,176,May
173,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11212,178,0,55,May
174,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,118581,4140,0,192,May
175,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3097,146,0,115,May
176,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4458,153,0,74,May
177,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1387361,48958,0,2000,May
178,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5421,195,0,42,May
179,What You Need to Know for a Data Science Internship,2020-05-01,20524,1140,0,59,May
180,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8269,348,0,54,Apr
181,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14963,460,0,103,Apr
182,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3075,85,0,24,Apr
183,5 Tips for Crushing the Work From Home Life,2020-04-20,5370,201,0,38,Apr
184,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,18905,692,0,126,Apr
185,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,26461,692,0,98,Apr
186,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,40073,847,0,153,Apr
187,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,66692,1803,0,211,Apr
188,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,72713,1657,0,270,Apr
189,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,111476,3198,0,610,Apr
190,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,168456,4483,0,165,Apr
191,When Data Science Goes Wrong,2020-03-30,1790,105,0,32,Mar
192,How to ULTRALEARN Data Science,2020-03-27,61242,3815,0,169,Mar
193,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4348,267,0,50,Mar
194,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12486,463,0,45,Mar
195,The Secret Data Scientists Don't Want You to Know,2020-03-16,10600,1137,0,105,Mar
196,The 5 Stages of Learning Data Science,2020-03-13,17305,1292,0,78,Mar
197,Can You Learn Data Science Without a Computer?,2020-03-11,1572,107,0,14,Mar
198,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,340176,20985,0,620,Mar
199,The Data Science Projects that Got Me a Job,2020-03-06,40071,1389,0,41,Mar
200,How to Integrate Data Science into Your Business,2020-03-02,3350,127,0,18,Mar
201,The Problem with Data Science,2020-02-28,3762,155,0,19,Feb
202,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1135,45,0,16,Feb
203,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,118208,2315,0,99,Feb
204,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,318702,17536,0,519,Feb
205,Data Science Advice for College Students,2020-02-14,68573,1956,0,197,Feb
206,Avoid These Data Science Resume Mistakes!,2020-02-10,27693,1223,0,60,Feb
207,Data Science Explained with ... Cooking?,2020-02-07,5050,306,0,48,Feb
208,The 4 Types of Sports Analytics Projects,2020-02-03,28636,955,0,60,Feb
209,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,571,18,0,13,Jan
210,How I Learned Data Science,2020-01-27,93298,2672,0,210,Jan
211,What is Sports Analytics Really?,2020-01-20,20160,593,0,73,Jan
212,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,109389,3108,0,579,Jan
213,How To Learn Programming for Data Science [3 Steps],2020-01-13,29811,1976,0,96,Jan
214,Data Science Fundamentals: SQL Queries,2020-01-10,6172,210,0,34,Jan
215,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3083,149,0,14,Jan
216,The 9 Books That Changed My Perspective in 2019,2020-01-03,3351,179,0,25,Jan
217,The Data Science Interview: What to Expect,2019-12-30,8335,373,0,32,Dec
218,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
219,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16049,566,0,92,Dec
220,Collision Course: Sports Betting + Data Science,2019-12-20,16396,478,0,27,Dec
221,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100603,2938,0,205,Dec
222,5 Sports Analytics Books to Get You Started,2019-12-13,10314,387,0,57,Dec
223,Math Needed for Mastering Data Science,2019-12-09,55638,2843,0,222,Dec
224,The 5 Stages of Data Science Adoption,2019-12-06,1304,68,0,17,Dec
225,How YOU Can Land a Sports Analytics Job,2019-12-02,66738,2977,0,227,Dec
226,Data Science Fundamentals: Linear Regression,2019-11-29,6207,171,0,42,Nov
227,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1009,50,0,12,Nov
228,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5800,265,0,26,Nov
229,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45705,1747,0,80,Nov
230,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5890,136,0,31,Nov
231,Why Selling Is An Important Data Science Skill,2019-11-04,1598,79,0,13,Nov
232,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2739,73,0,18,Oct
233,Why is Balance Important in Data Science?,2019-10-16,692,32,0,13,Oct
234,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11693,578,0,54,Sep
235,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3677,113,0,31,Sep
236,6 Habits of Successful Data Scientists,2019-09-13,2175,94,0,17,Sep
237,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4243,95,0,9,Sep
238,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,0,29,Aug
239,Is Data Science Right For You?,2019-08-18,49884,1161,0,109,Aug
240,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14465,387,0,55,Aug
241,How To Get Data Science Experience (Without a Job),2019-08-08,28961,1376,0,75,Aug
242,Take Your Data Science Projects From Good to Great,2019-08-05,1584,107,0,11,Aug
243,The Projects You Should Do To Get A Data Science Job,2019-07-30,147925,5662,0,252,Jul
244,What Does a Data Scientist Actually Do?,2019-07-19,35184,1178,0,82,Jul
245,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12670,347,0,42,Jul
246,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17383,517,0,61,Jul
247,Data Science: Pros and Cons,2019-06-30,5121,212,0,18,Jun
248,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24054,1166,0,89,Jun
249,My Top 5 Data Science Internship Tips,2019-06-15,11628,479,0,23,Jun
250,Golf STATS: Strokes Gained Explained,2019-06-07,7020,147,0,28,Jun
251,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,607,44,0,5,May
252,What I Learned From My Three Degrees,2019-05-17,1233,60,0,12,May
253,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25571,1067,0,68,May
254,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1227,40,0,2,May
255,Should You Learn R for Data Science?,2019-04-25,20232,543,0,69,Apr
256,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46200,853,0,336,Apr
257,Work From Home Data Scientist: Day in the Life,2019-04-12,27990,761,0,103,Apr
258,Where to Look for Data Science Jobs,2019-03-29,2989,120,0,9,Mar
259,Data Science: Startup vs. Large Corporation,2019-03-21,2083,75,0,4,Mar
260,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6011,168,0,26,Mar
261,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4134,179,0,15,Mar
262,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,793,33,0,12,Mar
263,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1416,35,0,8,Mar
264,Where YOU Should Start With Data Science Projects,2019-02-19,15866,326,0,17,Feb
265,Watch This Before Applying to Data Science Jobs,2019-02-04,1480,66,0,13,Feb
266,My Top 5 Data Science Resources for 2019,2019-01-05,3671,121,0,17,Jan
267,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,825,37,0,6,Dec
268,The Best Way to Predict NBA Minutes Played,2018-12-11,4128,106,0,14,Dec
269,Demystifying Data Science Roles,2018-11-30,1124,53,0,5,Nov
270,How to Simulate NBA Games in Python,2018-11-19,17327,386,0,54,Nov
271,Should You Get A Masters in Data Science?,2018-11-14,20441,304,0,138,Nov
272,How I Became A Data Scientist From a Business Background,2018-11-12,6361,197,0,23,Nov
273,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8499,193,0,17,Jul
274,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18686,292,0,41,Nov
